,timestamp,date,time,target_label,day,transaction,volume_5min,volume_norm,barsize_5min,barsize_5min_norm,topping_tail,bottoming_tail,inside_wicks,inside_body,sma_90_norm,sma_90_slope,avwap_2day,gap,gap_up
107,2024-05-13 07:35:00,2024-05-13,07:35:00,0,Monday,0.0,33325.0,0.8447669444532463,46.25,0.25,0.0239,0.0053,0.0,0.0,1.0049,0.0041,-0.0923,0.43,1
108,2024-05-14 07:35:00,2024-05-14,07:35:00,1,Tuesday,1.0,37180.0,0.9542643527852175,29.25,0.16,0.0387,0.048,1.0,0.0,0.9994,0.0018,0.0634,-0.12,0
109,2024-05-15 07:35:00,2024-05-15,07:35:00,0,Wednesday,1.0,42068.0,1.0740647124755216,37.0,0.19,0.0316,0.0908,0.0,0.0,1.0092,0.0141,-0.0435,0.53,1
110,2024-05-16 07:35:00,2024-05-16,07:35:00,1,Thursday,1.0,28269.0,0.7283271842859205,18.5,0.1,0.0326,0.0352,1.0,1.0,1.0045,0.0164,0.0564,-0.08,0
111,2024-05-17 07:35:00,2024-05-17,07:35:00,0,Friday,1.0,31536.0,0.8155612479100856,24.75,0.13,0.0692,0.0078,1.0,1.0,0.9971,-0.0025,0.061,0.0,0
112,2024-05-20 07:35:00,2024-05-20,07:35:00,1,Monday,1.0,33112.0,0.8645950017886193,54.5,0.28,0.0026,0.0457,0.0,1.0,1.0004,-0.0007,0.1192,0.03,1
113,2024-05-21 07:35:00,2024-05-21,07:35:00,1,Tuesday,1.0,33063.0,0.8691788897549512,33.25,0.17,0.0078,0.0443,1.0,1.0,0.9974,0.0052,0.0219,-0.43,0
114,2024-05-23 07:35:00,2024-05-23,07:35:00,1,Thursday,0.0,42650.0,1.1316344223822166,51.75,0.27,0.0051,0.0308,0.0,1.0,1.012,0.0106,-0.0447,0.96,1
115,2024-05-24 07:35:00,2024-05-24,07:35:00,0,Friday,1.0,29345.0,0.7922398560496536,43.5,0.23,0.013,0.1545,1.0,1.0,0.9976,0.0003,-0.0819,0.35,1
116,2024-05-28 07:35:00,2024-05-28,07:35:00,0,Tuesday,0.0,33477.0,0.9521588325054289,35.0,0.18,0.0889,0.0425,0.0,1.0,1.0039,0.016,-0.0167,0.25,1
117,2024-05-29 07:35:00,2024-05-29,07:35:00,1,Wednesday,1.0,37506.0,1.0819184104401407,45.5,0.24,0.0545,0.0247,0.0,0.0,0.9931,-0.0033,0.077,-0.94,0
118,2024-05-30 07:35:00,2024-05-30,07:35:00,1,Thursday,0.0,36011.0,1.0507901862832065,54.0,0.28,0.0234,0.0065,1.0,0.0,0.9957,-0.0086,0.0149,-0.24,0
119,2024-05-31 07:35:00,2024-05-31,07:35:00,0,Friday,1.0,31329.0,0.9215590818237038,41.5,0.22,0.072,0.0105,1.0,0.0,0.9948,-0.0151,0.1118,-0.01,0
120,2024-06-03 07:35:00,2024-06-03,07:35:00,0,Monday,1.0,32701.0,0.9714861203536457,33.5,0.17,0.0651,0.0768,0.0,0.0,1.0164,0.0037,0.0414,0.61,1
121,2024-06-04 07:35:00,2024-06-04,07:35:00,0,Tuesday,0.0,36250.0,1.0747364301554736,65.75,0.34,0.0667,0.0405,1.0,0.0,1.0037,0.0142,0.0729,-0.08,0
122,2024-06-05 07:35:00,2024-06-05,07:35:00,0,Wednesday,0.0,28327.0,0.8445459451240419,31.25,0.16,0.0181,0.062,0.0,0.0,1.0117,0.0161,-0.0712,0.79,1
123,2024-06-06 07:35:00,2024-06-06,07:35:00,0,Thursday,1.0,26972.0,0.8072548784867712,28.75,0.15,0.051,0.0931,0.0,0.0,1.0087,0.0265,0.0497,0.14,1
124,2024-06-07 07:50:00,2024-06-07,07:50:00,1,Friday,1.0,26927.0,0.8056717471829763,50.0,0.26,0.0013,0.0218,1.0,0.0,0.9988,-0.0024,0.1718,-0.13,0
125,2024-06-10 07:35:00,2024-06-10,07:35:00,1,Monday,1.0,33025.0,0.9834766980793542,40.5,0.21,0.0231,0.0577,0.0,0.0,0.9959,-0.0031,0.0621,-0.27,0
126,2024-06-11 07:35:00,2024-06-11,07:35:00,0,Tuesday,1.0,33009.0,0.9911392291039242,39.5,0.2,0.0409,0.0626,1.0,1.0,0.9994,0.0012,-0.0509,-0.29,0
127,2024-06-13 07:35:00,2024-06-13,07:35:00,0,Thursday,1.0,26893.0,0.8153717880694308,21.5,0.11,0.0571,0.0298,0.0,1.0,1.0263,0.0312,0.0941,2.05,1
128,2024-06-14 07:35:00,2024-06-14,07:35:00,1,Friday,1.0,27161.0,0.8361977799704756,27.75,0.14,0.0037,0.107,1.0,0.0,1.0021,0.0207,0.0901,-0.08,0
129,2024-06-17 07:35:00,2024-06-17,07:35:00,0,Monday,0.0,12539.0,0.40441733779281475,36.5,0.18,0.0804,0.0074,0.0,0.0,1.0031,0.0037,0.0169,0.03,1
